Date/Time,PICA-3102,PICA-3102MV,PICA-3130,FICA-3326,FICA-3122,FICA-3113,FICA-3141,TICA-3123,TICA-3125,S3129,S3119
24/12/2021 11:00,0.82,30.42,0.45,2103.85,0.05,5830.9,3405.93,92.06,82.25,4396.97,1
9/10/2021 11:00,0.79,27.85,0.43,2113.91,0.01,5510.46,3191.61,110.11,84.95,50460.19,1
25/12/2021 19:00,0.82,31.18,0.44,2096.94,0.01,5643.14,3454.43,92.6,82.69,1852.32,1
30/1/2022 3:00,0.87,31.32,0.46,1858.11,0.01,6002.46,3149.73,96.1,83.46,2276.99,1
1/1/2022 3:00,0.82,30.56,0.45,2096.49,-0.02,5913.51,3775.44,91.07,83.67,3078.68,1
25/12/2021 11:00,0.82,30.63,0.45,2130.58,0.01,5712.23,3422.67,91.61,82.32,2974.62,1
29/12/2021 3:00,0.83,29.7,0.45,2059.83,0.01,6173.53,3504.47,90.33,83.67,2573.66,1
8/10/2021 11:00,0.8,30.83,0.45,2106.85,0.01,5836.07,3108.61,91.42,82.13,4178.6,1
28/1/2022 11:00,0.84,31.41,0.45,2192.92,0.05,6484.29,3091.53,90.28,80.73,6822.24,1
23/1/2022 3:00,0.87,32.85,0.46,2054.73,0.05,6334.25,3070.33,100.37,82.2,3715.73,1
6/10/2021 3:00,0.8,34.01,0.44,2098.44,0.01,5995.79,3039.17,107.42,83.47,2021.95,1
29/12/2021 19:00,0.83,29.61,0.45,2097.09,0.01,6196.06,3504.9,90.38,83.64,12442.71,1
31/12/2021 19:00,0.83,29.9,0.45,2081.01,-0.02,5951.73,3683.34,92.47,84.34,2209.63,1
27/1/2022 3:00,0.78,19.48,0.44,1925.25,0.05,5944.72,3152.47,102.49,100.06,2700.48,1
30/12/2021 19:00,0.83,29.52,0.44,2096.64,-0.02,6039.52,3549.96,91.81,83.98,4722.03,1
27/12/2021 3:00,0.84,30.64,0.45,2096.49,0.01,5627.45,3345.34,90.79,82.33,3789.58,1
2/1/2022 19:00,0.84,28.02,0.45,2115.86,0.05,5829.39,3527.47,101.32,85.08,3192.06,1
1/2/2022 3:00,0.85,27.45,0.45,2075.01,0.05,5887.64,3298.82,90.9,81.55,1823.3,1
2/10/2021 3:00,0.82,33.72,0.47,2094.53,0.01,6491.97,3113.68,89.68,80.48,1532.9,1
23/12/2021 3:00,0.85,30.53,0.45,2099.19,0.01,5606.25,3307.74,98.55,81.9,1261.82,1
24/12/2021 3:00,0.82,30.17,0.41,2097.24,0.01,5449.87,3308.43,87.34,80.66,3052.9,1
24/1/2022 11:00,0.86,29.99,0.45,1842.79,0.05,5975.59,3198.82,90.51,81.71,8634.33,1
9/10/2021 3:00,0.79,31.78,0.45,2102.64,0.01,5256.11,2835.24,104.07,90.89,3120.64,1
30/9/2021 19:00,0.82,32.66,0.46,2149.36,-0.02,6473.78,3296.84,89.61,81.37,21144.41,1
25/12/2021 3:00,0.82,31.01,0.45,2103.39,0.01,5723.42,3457.52,89.7,81.11,8965.5,1
26/12/2021 11:00,0.82,30.42,0.45,2085.07,0.05,5601.58,3437,100.62,83.66,1953.02,1
29/1/2022 11:00,0.84,32.04,0.45,1891.75,0.05,6016.15,3103.29,92.75,83.07,1696.41,1
30/1/2022 11:00,0.84,31.54,0.45,1896.41,0.05,6023.33,3150.24,97.27,83.57,3177.48,1
1/10/2021 11:00,0.79,31.16,0.45,2142.75,-0.02,6810.07,3126.21,94.76,81.38,2122.39,1
4/10/2021 11:00,0.79,32.15,0.44,2033.85,0.01,5881.97,3048.79,103.78,82.89,1326.12,0
22/12/2021 19:00,0.86,30.15,0.45,2114.06,0.01,5475.24,3294.7,88.88,81.85,1861.08,0
23/1/2022 11:00,0.86,31.93,0.45,1854.5,0.05,5662.17,2977.55,112.99,83.49,2469.79,0
28/1/2022 19:00,0.87,31.99,0.46,2061.64,0.05,6490.8,3389.37,89.14,81.66,2128.73,0
28/12/2021 11:00,0.83,29.55,0.45,2107.45,0.05,6270,3549.87,90.12,83.56,9085.89,0
23/1/2022 19:00,0.84,31.65,0.45,1882.14,0.09,6233.78,3216.67,90.8,81.91,1143.43,0
5/10/2021 11:00,0.8,32.71,0.46,2064.94,-0.02,6079.07,3304.82,91.85,81.8,3439.54,0
23/12/2021 19:00,0.88,28.92,0.46,2083.27,0.01,6013.98,3231.35,111.14,84.4,1784.36,0
24/1/2022 3:00,0.85,31.56,0.45,1830.77,0.01,5860.27,3215.13,97.62,82.19,2322.12,0
7/10/2021 19:00,0.82,30.34,0.47,2108.95,0.01,5355.75,3083.98,103.66,83.29,1680.93,0
1/2/2022 11:00,0.83,28.05,0.43,1912.18,0.05,5751.29,3406.79,90.89,83.16,7249.75,0
31/1/2022 3:00,0.85,27.34,0.45,2266.52,0.05,6011.64,3507.56,93.33,83.04,8050.65,0
29/12/2021 11:00,0.83,29.22,0.45,2096.49,0.05,6156.84,3506.44,90.34,83.77,14568.7,0
2/10/2021 11:00,0.8,32.09,0.46,2116.61,-0.02,5738.27,3057.03,89.22,81.33,1326.34,0
27/12/2021 11:00,0.83,29.69,0.45,2074.41,0.05,6293.86,3547.73,90.12,83.57,3350.58,0
