Date/Time,PICA-3102,PICA-3102MV,PICA-3130,FICA-3326,FICA-3122,FICA-3113,FICA-3141,TICA-3123,TICA-3125,S3119 ,S3129
5/2/2022 11:00,0.92,19.75,0.45,2253.15,0.01,6798.06,3607.9,92.23,83.08,0.05,1833.07
2/2/2022 19:00,0.85,25.36,0.46,2013.27,0.05,4823.01,3312.46,95.02,82.34,0.05,23038.07
17/9/2021 11:00,0.89,21.34,0.45,2354.39,-0.02,6400.18,3356.92,94.12,85.25,0.05,38881.29
3/11/2021 11:00,0.9,20.05,0.45,2214.85,0.01,6758.33,3407.65,98.57,84.01,0.05,4311.75
18/11/2021 11:00,0.9,22.73,0.45,2236.48,-0.02,6082.74,3308.09,91.94,83.51,0.05,3987.18
26/9/2021 19:00,0.9,22.6,0.45,2144.25,0.05,6512.16,3199.68,104.19,83.54,0.05,9831.74
7/1/2022 3:00,0.91,26.6,0.45,2071.7,0.01,6776.19,3301.05,87.43,78.49,0.05,370278.2
16/12/2021 11:00,0.9,22.8,0.45,2217.7,0.01,6559.23,3603,92.75,84.95,0.05,2551.62
22/9/2021 19:00,0.89,22.73,0.45,2228.67,0.05,6363.13,3505.07,93.67,85.23,0.05,3951.94
22/11/2021 11:00,0.9,22.53,0.44,2253.6,-0.02,6066.22,3198.05,92.43,83.68,0.05,41536.35
11/1/2022 3:00,0.9,23.35,0.45,2160.77,0.01,7044.89,3606.61,91.99,81.8,0.05,21729.92
16/9/2021 3:00,0.84,19.84,0.45,2332.61,0.05,6322.9,3243.37,91.67,84.4,0.05,6266.43
26/9/2021 3:00,0.9,23.27,0.45,2137.19,0.01,6478.12,2550.02,95.06,83,0.05,7526.46
19/10/2021 11:00,0.9,17.85,0.45,2185.26,0.05,6750.66,3109.81,94.08,83.4,0.05,9367.42
13/11/2021 19:00,0.9,23.13,0.45,2163.48,0.01,6007.97,2995.91,92.41,83.07,0.05,4021.38
6/2/2022 11:00,0.92,20.11,0.45,2423.78,0.05,6720.78,3592.62,92.88,83.28,0.05,4334.24
28/11/2021 19:00,0.89,23.21,0.45,2266.97,-0.02,6179.71,3454.09,91.24,83.92,0.05,8719.51
15/11/2021 3:00,0.9,21.93,0.45,2202.98,0.01,6120.13,3198.56,91.96,83.49,0.05,10959
17/10/2021 11:00,0.89,18.97,0.45,2180.75,0.01,6639.34,3010.68,98.59,83.47,0.05,2379.12
11/2/2022 19:00,0.92,21.3,0.45,1969.41,0.01,7271.87,3599.74,90.67,82.72,0.05,14556.2
26/10/2021 19:00,0.9,20.87,0.45,2192.92,-0.06,6218.93,3213.76,91.75,83.69,0.05,13550.24
12/2/2022 3:00,0.92,22.08,0.45,2375.87,0.09,7098.63,3501.81,90.43,83.17,0.05,6972.25
2/11/2021 19:00,0.9,19.88,0.45,2210.34,-0.02,6953.6,3600.43,91.02,82.74,0.05,10019.31
19/11/2021 3:00,0.9,23.98,0.45,2159.87,0.05,5886.31,3099.34,103.08,84.27,0.05,5265.12
3/2/2022 19:00,0.9,20.77,0.45,2040.01,0.05,5732.26,3303.54,92.28,82.8,0.05,3528.86
