Date/Time,PICA-3102,PICA-3102MV,PICA-3130,FICA-3326,FICA-3122,FICA-3113,FICA-3141,TICA-3123,TICA-3125,S3129,S3119
24/9/2021 11:00,0.9,15.82,0.45,2138.09,0.05,6191.22,2991.45,98.86,82.9,5559.85,0
10/11/2021 19:00,0.9,21.92,0.45,2215.15,0.01,6727.96,3223.2,92.9,83.49,8486.59,0
12/10/2021 19:00,0.85,25.13,0.46,2152.81,-0.02,5774.82,3398.81,113.1,97.07,282969.62,0
28/10/2021 11:00,0.9,22.44,0.45,2206.44,-0.02,5539.16,3262.34,93.07,83.25,6855.73,0
16/10/2021 3:00,0.9,18.36,0.45,2180.3,0.01,5696.38,2901.33,105.26,85.9,3052.9,0
26/9/2021 11:00,0.9,22.45,0.45,2050.97,0.05,6957.27,2849.74,93.73,82.68,22392.33,0
16/10/2021 19:00,0.9,18.46,0.45,2187.21,0.05,6241.96,2958.58,94.87,82.9,7549.1,0
28/10/2021 19:00,0.9,22.64,0.46,2203.28,-0.02,5343.06,3407.22,91.38,83.45,7912.12,0
27/9/2021 19:00,0.92,22.77,0.46,2113.01,0.05,6710.1,3194.44,108.78,84.07,5902.81,0
28/9/2021 3:00,0.9,21.77,0.45,2147.1,0.01,6913.05,3304.74,92.57,81.97,26969.95,0
24/9/2021 19:00,0.9,16.04,0.45,2124.87,0.05,6452.42,2902.53,95.76,83.15,30907.39,0
14/11/2021 11:00,0.9,22.25,0.45,2161.07,0.05,6027.5,3204.92,91.91,83.13,4586.3,0
23/9/2021 11:00,0.93,45.69,0.57,2060.74,0.05,7347.81,2519.29,110.44,90.52,35124.93,0
8/12/2021 11:00,0.9,23.09,0.46,2206.74,0.05,6242.79,3450.22,91.27,84.21,26206.2,0
29/10/2021 11:00,0.9,22.45,0.45,2224.31,-0.02,5529.82,3106.21,102.92,83.82,13585.56,0
14/10/2021 19:00,0.85,20.1,0.45,2203.13,0.05,5989.78,2948.71,106.27,83.6,3154.02,0
17/11/2021 3:00,0.9,22.78,0.45,2205.23,-0.02,5954.9,3304.57,94.54,83.58,4567.91,0
25/10/2021 19:00,0.9,20.74,0.45,2236.78,0.01,6272.33,3192.64,92.22,83.87,3621.36,0
21/11/2021 11:00,0.91,20.63,0.47,2267.42,-0.02,6077.57,3353.66,93.48,83.92,2701.67,0
4/12/2021 19:00,0.9,22.32,0.43,2191.42,0.05,6121.8,3389.97,91.23,83.63,3358.04,0
30/10/2021 19:00,0.9,21.26,0.45,2227.77,0.01,6288.19,3115.31,93.32,84.12,2500.93,0
21/11/2021 19:00,0.9,22.36,0.45,2239.93,-0.02,6098.1,3339.5,93.85,84,2248.57,0
24/11/2021 11:00,0.9,22.42,0.45,2218.3,-0.02,6256.81,3415.2,91,83.18,15449.38,0
19/11/2021 19:00,0.89,23.75,0.45,2131.33,-0.02,5814.37,3206.12,97.49,84.02,6141.33,0
22/11/2021 3:00,0.9,23.02,0.45,2224.91,-0.02,5887.64,3202.86,92.77,83.51,2357.97,0
17/12/2021 11:00,0.9,22.47,0.45,2159.87,0.05,6710.77,3597.25,91.8,85,22973.39,0
17/11/2021 11:00,0.9,23.24,0.45,2201.33,-0.02,6061.04,3298.13,93.49,83.42,4869.28,0
12/10/2021 11:00,0.76,34.48,0.41,1346.36,-0.06,4492.23,3199.77,113.55,100.03,3092.29,0
6/11/2021 11:00,0.91,18.55,0.46,2178.95,0.01,6908.37,3436.58,91.98,83.15,6081.35,0
15/10/2021 19:00,0.9,18.53,0.45,2179.85,0.05,6173.53,2896.35,104.07,83.7,3743.59,0
15/11/2021 11:00,0.9,21.94,0.45,2200.88,0.05,6191.39,3209.64,92.24,83.58,9702.39,0
16/12/2021 3:00,0.9,21.66,0.45,2168.28,0.01,6619.31,3477.09,91.7,85.23,12472.59,0
2/2/2022 11:00,0.75,32.05,0.4,1889.65,-0.02,2043.2,2997.89,100.35,80.04,1776.72,0
12/11/2021 3:00,0.89,22.17,0.45,2136.44,0.01,6356.12,3399.84,90.64,81.97,4292.24,0
30/11/2021 19:00,0.9,22.41,0.44,2223.41,-0.02,6148.5,3401.13,90.73,83.58,5345.65,0
20/11/2021 19:00,0.9,23.34,0.45,2167.83,-0.02,5580.89,3316.93,104.38,84.5,3726.02,0
1/12/2021 19:00,0.89,22.72,0.43,2293.1,-0.02,6214.92,3349.8,91.21,83.83,8705.08,0
15/9/2021 19:00,0.85,19.46,0.46,2336.81,0.05,6865.31,3509.62,92.16,84.36,63729.29,0
10/1/2022 19:00,0.88,24.87,0.46,2210.04,-0.02,5795.18,3426.96,111.47,86.63,8974,0
28/9/2021 11:00,0.9,22.29,0.45,2137.19,0.05,6813.24,3297.79,109.94,83.93,1177.6,0
13/11/2021 11:00,0.9,22.48,0.45,2128.78,0.05,6023.33,3200.28,97.85,83.32,3282.29,0
1/11/2021 19:00,0.9,20.17,0.45,2215,0.01,6791.55,3291.95,92.86,83.23,4825.04,0
13/10/2021 19:00,0.85,18.6,0.45,2282.74,0.05,6221.6,3201.48,99.17,82.43,15707.67,0
27/9/2021 3:00,0.91,23.21,0.45,2113.76,0.01,6527.69,3243.54,94.75,81.46,26453.89,0
18/9/2021 3:00,0.9,20.84,0.45,2330.36,-0.02,6546.88,3611.67,93.42,85.51,6362.24,0
3/11/2021 3:00,0.9,19.6,0.45,2222.96,0.05,6658.2,3401.81,92.59,83.18,3475.53,0
10/11/2021 11:00,0.89,22.26,0.45,2243.09,-0.02,6432.05,3397.61,93.53,83.31,3108.59,0
25/9/2021 3:00,0.89,22.86,0.44,2117.96,0.01,6213.42,3096.08,109.31,85.42,7010.78,0
5/11/2021 11:00,0.9,19.11,0.46,2204.63,0.01,7232.65,3509.36,91.35,82.93,10306.95,0
16/11/2021 11:00,0.89,22.29,0.44,2164.23,-0.02,6136.65,3244.74,91.69,83.25,5821.65,0
14/10/2021 11:00,0.85,19.68,0.44,2256,0.05,6041.52,2999.43,105.51,84.94,3223.47,0
25/9/2021 11:00,0.9,22.87,0.44,2113.61,0.05,6275.84,2745.46,96.24,82.46,4744.52,0
1/12/2021 11:00,0.9,21.39,0.44,2290.55,-0.02,6160.01,3503.18,91.03,83.31,9277.75,0
2/12/2021 19:00,0.89,22.34,0.45,2209.29,0.05,6327.58,3402.84,91.19,83.72,16717.03,0
25/10/2021 11:00,0.91,20.5,0.45,2218.6,-0.02,6223.6,3202.43,92.17,83.88,5396.6,0
15/9/2021 3:00,0.85,21.37,0.45,2317.29,0.01,5885.64,3400.18,97.27,85.35,3437.86,0
15/11/2021 19:00,0.9,22.58,0.45,2210.64,0.05,6146.33,3203.89,92.11,83.58,5190.6,0
27/11/2021 3:00,0.9,22.94,0.45,2246.99,-0.06,6108.44,3353.49,92.43,83.87,3594.47,0
11/11/2021 11:00,0.9,22,0.45,2280.04,-0.02,6192.39,3185.09,91.72,82.93,1125.34,0
13/10/2021 11:00,0.85,18.55,0.45,2252.85,-0.02,5938.21,3203.71,110.3,82.55,3148.13,0
19/10/2021 19:00,0.9,18.13,0.45,2235.13,0.05,6629.83,3107.93,94.23,83.82,1787.05,0
11/1/2022 19:00,0.91,22.81,0.45,2087.32,0.05,7335.29,3510.05,91.18,81.8,16321.71,0
18/11/2021 3:00,0.9,23.13,0.45,2245.64,0.01,6094.42,3300.19,94.12,83.55,4836.27,0
3/11/2021 19:00,0.9,20.4,0.45,2216.65,0.01,6640.17,3406.62,90.9,82.64,5825.75,0
11/11/2021 3:00,0.9,21.61,0.45,2226.71,0.05,6552.55,3402.76,104.06,84.02,2203.82,0
20/11/2021 11:00,0.9,23.12,0.45,2168.73,-0.02,6205.91,3198.31,105.81,84.77,5437.63,0
11/11/2021 19:00,0.9,21.77,0.45,2172.49,0.01,6373.81,3306.54,91.34,82.72,4988.15,0
15/10/2021 3:00,0.86,19.04,0.45,2171.29,0.01,5666,2951.8,106.99,84.27,1707.23,0
19/11/2021 11:00,0.9,23.98,0.45,2110.75,-0.02,6126.47,3220.88,93.06,83.47,22943.11,0
5/12/2021 3:00,0.9,22.7,0.45,2183.45,0.01,6180.88,3396.58,91.38,83.92,7667.52,0
29/11/2021 11:00,0.91,22.63,0.45,2243.24,-0.02,6104.27,3501.64,91.03,83.48,8981.72,0
31/10/2021 3:00,0.89,22.03,0.45,2221.16,-0.02,6153.34,3113.68,91.73,83.57,1448.38,0
18/11/2021 19:00,0.89,23.16,0.45,2219.5,-0.06,6157.01,3304.91,91.92,83.28,7438.7,0
2/11/2021 3:00,0.9,20.57,0.45,2230.77,0.05,6672.38,3277.01,92.55,82.83,6334.53,0
9/11/2021 19:00,0.9,20.93,0.45,2238.13,-0.02,6734.13,3481.55,93.01,83.19,9468.79,0
7/12/2021 19:00,0.91,22.89,0.45,2217.7,0.05,6202.74,3398.64,93.85,84.99,3025.94,0
10/1/2022 11:00,0.93,21.85,0.45,2076.36,0.01,6939.92,3514.85,90.43,81.66,3864.17,0
5/2/2022 11:00,0.92,19.75,0.45,2253.15,0.01,6798.06,3607.9,92.23,83.08,1833.07,1
2/2/2022 19:00,0.85,25.36,0.46,2013.27,0.05,4823.01,3312.46,95.02,82.34,23038.07,1
17/9/2021 11:00,0.89,21.34,0.45,2354.39,-0.02,6400.18,3356.92,94.12,85.25,38881.29,1
3/11/2021 11:00,0.9,20.05,0.45,2214.85,0.01,6758.33,3407.65,98.57,84.01,4311.75,1
18/11/2021 11:00,0.9,22.73,0.45,2236.48,-0.02,6082.74,3308.09,91.94,83.51,3987.18,1
26/9/2021 19:00,0.9,22.6,0.45,2144.25,0.05,6512.16,3199.68,104.19,83.54,9831.74,1
7/1/2022 3:00,0.91,26.6,0.45,2071.7,0.01,6776.19,3301.05,87.43,78.49,370278.2,1
16/12/2021 11:00,0.9,22.8,0.45,2217.7,0.01,6559.23,3603,92.75,84.95,2551.62,1
22/9/2021 19:00,0.89,22.73,0.45,2228.67,0.05,6363.13,3505.07,93.67,85.23,3951.94,1
22/11/2021 11:00,0.9,22.53,0.44,2253.6,-0.02,6066.22,3198.05,92.43,83.68,41536.35,1
11/1/2022 3:00,0.9,23.35,0.45,2160.77,0.01,7044.89,3606.61,91.99,81.8,21729.92,1
16/9/2021 3:00,0.84,19.84,0.45,2332.61,0.05,6322.9,3243.37,91.67,84.4,6266.43,1
26/9/2021 3:00,0.9,23.27,0.45,2137.19,0.01,6478.12,2550.02,95.06,83,7526.46,1
19/10/2021 11:00,0.9,17.85,0.45,2185.26,0.05,6750.66,3109.81,94.08,83.4,9367.42,1
13/11/2021 19:00,0.9,23.13,0.45,2163.48,0.01,6007.97,2995.91,92.41,83.07,4021.38,1
6/2/2022 11:00,0.92,20.11,0.45,2423.78,0.05,6720.78,3592.62,92.88,83.28,4334.24,1
28/11/2021 19:00,0.89,23.21,0.45,2266.97,-0.02,6179.71,3454.09,91.24,83.92,8719.51,1
15/11/2021 3:00,0.9,21.93,0.45,2202.98,0.01,6120.13,3198.56,91.96,83.49,10959,1
17/10/2021 11:00,0.89,18.97,0.45,2180.75,0.01,6639.34,3010.68,98.59,83.47,2379.12,1
11/2/2022 19:00,0.92,21.3,0.45,1969.41,0.01,7271.87,3599.74,90.67,82.72,14556.2,1
26/10/2021 19:00,0.9,20.87,0.45,2192.92,-0.06,6218.93,3213.76,91.75,83.69,13550.24,1
12/2/2022 3:00,0.92,22.08,0.45,2375.87,0.09,7098.63,3501.81,90.43,83.17,6972.25,1
2/11/2021 19:00,0.9,19.88,0.45,2210.34,-0.02,6953.6,3600.43,91.02,82.74,10019.31,1
19/11/2021 3:00,0.9,23.98,0.45,2159.87,0.05,5886.31,3099.34,103.08,84.27,5265.12,1
3/2/2022 19:00,0.9,20.77,0.45,2040.01,0.05,5732.26,3303.54,92.28,82.8,3528.86,1
5/11/2021 19:00,0.9,19.42,0.45,2198.93,0.01,6994.66,3420.01,92.47,83.24,7777.14,1
28/9/2021 19:00,0.9,21.85,0.45,2124.27,0.05,7042.56,3191.18,94.22,82.65,3228.09,1
14/11/2021 19:00,0.9,22.14,0.45,2193.82,0.01,6032.67,3198.13,93.86,83.73,3465.53,1
27/11/2021 11:00,0.9,22.55,0.45,2259.31,-0.02,6257.31,3395.12,91.39,83.62,3380.05,1
14/11/2021 3:00,0.9,22.43,0.45,2167.83,0.01,5992.95,3196.16,91.68,82.99,7916.9,1
15/10/2021 11:00,0.91,19.01,0.45,2169.34,0.01,5856.43,2899.35,100.26,82.46,5037.64,1
12/11/2021 19:00,0.9,21.96,0.45,2157.92,0.01,6151,3415.12,99.32,83.54,7867.37,1
3/12/2021 3:00,0.89,22.81,0.45,2203.43,-0.02,6282.68,3198.31,91.18,84.09,18365.71,1
12/1/2022 3:00,0.89,22.99,0.44,2101.14,0.05,6900.86,3504.04,90.44,81.91,4908.52,1
8/11/2021 19:00,0.89,21,0.45,2237.08,0.01,6972.46,3667.72,91.97,83.15,16464.89,1
4/12/2021 3:00,0.9,23.2,0.45,2202.53,0.05,6149.5,3302.08,91.5,84.04,13874.21,1
20/9/2021 3:00,0.9,21.1,0.45,2352.89,-0.02,6801.06,3390.48,92.38,85.5,4325.36,1
27/10/2021 11:00,0.9,20.72,0.45,2199.83,-0.02,6180.71,3304.65,91.66,83.62,10501.2,1
8/12/2021 19:00,0.89,22.93,0.45,2197.27,0.05,6344.93,3402.67,92.4,84.7,3829.93,1
6/11/2021 19:00,0.9,18.73,0.45,2225.51,0.01,6891.18,3400.35,93.79,83.45,3131.64,1
9/12/2021 19:00,0.9,23.15,0.45,2218,0.05,6259.98,3397.69,92.59,84.66,8235.05,1
23/11/2021 3:00,0.89,23.26,0.44,2230.47,-0.02,6234.62,3201.48,92.18,83.83,4041.3,1
16/11/2021 19:00,0.9,22.31,0.45,2211.84,-0.02,6124.63,3316.75,92.66,83.21,12286.14,1
4/12/2021 11:00,0.88,23.38,0.43,2172.04,0.05,6275.17,3590.3,90.51,83,14148.5,1
24/11/2021 3:00,0.89,22.75,0.45,2200.28,0.01,6073.9,3348.77,91.18,82.98,6189.48,1
5/12/2021 19:00,0.9,23.02,0.45,2203.28,0.05,6080.24,3398.12,93.62,84.68,1416.01,1
12/1/2022 11:00,0.9,22.65,0.44,2298.36,0.01,7090.62,3254.1,96.66,82.28,4097.81,1
9/11/2021 11:00,0.9,21.09,0.45,2254.2,0.01,6645.85,3203.54,108.17,85.74,4352.48,1
17/9/2021 3:00,0.9,22.29,0.45,2354.84,-0.02,6106.44,3294.52,95,85.04,4691.74,1
4/11/2021 11:00,0.9,19.54,0.45,2232.57,0.01,6877.67,3395.98,92.02,83.3,4925.15,1
7/11/2021 3:00,0.92,19.07,0.47,2219.95,0.01,6896.36,3356.67,100.86,84.26,4082.93,1
11/2/2022 3:00,0.91,20.75,0.44,1945.23,0.05,6632.33,3298.9,93.94,83.88,3289.97,1
1/11/2021 11:00,0.9,21.27,0.46,2234.37,0.01,6430.05,3199.59,95.77,83.24,2446.21,1
8/11/2021 11:00,0.9,21.55,0.45,2271.78,0.01,6474.95,3306.8,92.26,83.09,2757.91,1
13/10/2021 3:00,0.85,17.01,0.45,2219.5,0.01,5916.68,3304.48,92.32,81.16,3927.17,1
24/10/2021 19:00,0.9,19.87,0.44,2215.6,-0.02,6563.07,3303.97,95.48,84.6,7422.07,1
31/10/2021 11:00,0.91,21.39,0.45,2292.8,0.01,6423.38,3104.15,92.41,84.01,3677.5,1
15/1/2022 3:00,0.9,22.86,0.45,2163.33,0.05,7210.46,3539.14,92.42,82.2,8116.15,1
1/11/2021 3:00,0.9,21.58,0.45,2222.51,-0.02,6575.08,3277.44,93.62,82.79,5551.76,1
27/11/2021 19:00,0.9,22.59,0.45,2267.57,-0.02,6153.51,3389.8,91.51,83.88,6717.1,1
7/12/2021 11:00,0.9,22.99,0.45,2208.54,0.05,6199.9,3404.9,92.59,84.68,3192.81,1
7/11/2021 19:00,0.89,20.1,0.45,2214.85,0.05,6933.41,3561.03,95.9,83.54,2316.08,1
24/10/2021 3:00,0.9,19.65,0.45,2195.62,0.01,6590.94,3303.62,94.63,84.29,3751.94,1
19/10/2021 3:00,0.9,18.13,0.45,2160.77,0.05,6622.48,3094.62,95.46,83.3,2527.19,1
18/10/2021 19:00,0.89,19.11,0.44,2160.77,0.05,6780.03,3089.81,93.91,83.54,13641.96,1
9/11/2021 3:00,0.9,21,0.45,2231.67,0.01,6793.88,3325.77,93.19,83.41,3237.16,1
22/10/2021 3:00,0.9,20.17,0.45,2217.1,-0.02,6428.72,3242.25,94.73,83.49,1635.21,1
16/10/2021 11:00,0.9,18.18,0.45,2184.96,0.05,6061.21,2907.51,97.24,82.7,2316.75,1
5/2/2022 3:00,0.92,19.88,0.45,2410.72,0.05,6813.24,3593.22,93.68,83.35,5414.99,1
14/1/2022 11:00,0.9,22.64,0.45,2526.98,0.09,7347.81,3562.41,92.12,81.87,2864.21,1
11/12/2021 19:00,0.9,22.78,0.45,2198.17,-0.02,6413.7,3460.95,91.98,84.76,3159.65,1
30/10/2021 11:00,0.9,20.66,0.45,2204.03,0.01,7347.98,3614.42,91.54,83.08,5664.21,1
8/1/2022 19:00,0.91,24.62,0.43,2246.84,-0.02,6578.59,3379.67,89.2,81.27,13252.64,1
14/1/2022 19:00,0.9,22.92,0.45,2622.66,0.05,7223.31,3526.1,92.97,82.49,11062.69,1
13/11/2021 3:00,0.9,22.39,0.45,2157.32,0.01,5956.74,3301.39,93.2,82.97,3675.37,1
7/1/2022 11:00,0.91,26.86,0.45,2100.84,0.01,7348.31,3501.38,91.81,81.38,19569.73,1
21/10/2021 3:00,0.9,19.26,0.45,2211.54,0.05,6622.98,3298.3,101.97,84.52,3455.13,1
10/12/2021 19:00,0.9,23.21,0.45,2189.01,0.05,6176.37,3498.55,92.71,84.87,6879.72,1
26/10/2021 3:00,0.9,20.66,0.45,2212.44,-0.02,6228.11,3213.93,92.69,84.11,1984.65,1
17/11/2021 19:00,0.91,23.01,0.45,2231.37,-0.02,5899.49,3316.24,101.85,84.3,2600.29,1
9/2/2022 19:00,0.92,22.39,0.45,2305.42,-0.02,6989.32,3605.66,93.65,83.4,3867.34,1
23/11/2021 11:00,0.91,22.23,0.47,2213.5,-0.02,6241.29,3201.05,92.03,83.63,1801.97,1
8/2/2022 3:00,0.92,22.43,0.45,1956.49,0.09,7170.23,3661.46,91.61,82.95,25086.74,1
17/9/2021 19:00,0.9,21.69,0.45,2259.01,0.01,6521.84,3392.89,95.63,85.73,26736.02,1
4/2/2022 3:00,0.94,19.08,0.48,1949.13,0.05,6768.18,3304.65,102.78,84.69,3655.45,1
29/11/2021 3:00,0.91,21.63,0.47,2260.81,-0.02,6222.93,3527.21,91.83,83.94,3688.5,1
5/11/2021 3:00,0.88,19.58,0.45,2218.3,0.01,7348.14,3235.81,91.7,82.86,12766.53,1
14/10/2021 3:00,0.85,19,0.45,2282.44,0.01,6270,3204.57,105.47,81.75,1867.95,1
12/2/2022 19:00,0.92,23.75,0.45,1962.95,0.09,6480.12,3403.02,89.45,83.09,2522,1
21/10/2021 11:00,0.9,19.48,0.45,2226.86,-0.02,6565.4,3296.84,95.55,83.69,2897.86,1
7/1/2022 19:00,0.9,24.24,0.45,2401.1,0.01,7243.5,3400.01,90.1,81.49,3171.92,1
18/9/2021 11:00,0.91,21.36,0.45,2336.21,-0.02,6740.31,3588.58,94.85,85.81,1989.13,1
9/12/2021 3:00,0.9,22.9,0.45,2211.99,0.05,6094.92,3393.23,91.8,84.61,2172.67,1
4/11/2021 19:00,0.9,19.75,0.45,2248.64,0.01,6874.49,3295.04,99.42,84.06,2074.88,1
7/2/2022 3:00,0.92,19.82,0.45,1949.88,0.05,6979.81,3591.59,94.55,83.84,3468.67,1
25/9/2021 19:00,0.9,23.34,0.44,2190.81,0.05,5986.94,2550.27,99.39,89.12,4281.46,1
